,Startup Name,Founder(s),Funding Year,Funding Month,Funding Day,Founding Date,Industry/Vertical,Funding Date,Sub-Vertical,City,Investor(s),Investment Amount (USD),Investment Type,Remarks
82,20Dresses,,2015,02,13,,Other,13/02/2015,,,"Srinivas Aluri, Srinivas Modukury, Bs Nagesh",1000000,Early stage,
83,Itzcash,,2015,02,13,,Other,13/02/2015,,,Ashok Goel (Promoter),16500000,Other,Promoter Commitment
84,Newsinshorts,,2015,02,16,,Other,16/02/2015,,,"Tiger Global, Rebright Partners, Sachin And Binny Bansal",4150000,Other,Series A
85,Itraveller.Com,,2015,02,16,,Other,16/02/2015,,,Ah! Ventures,1000000,Other,Series A
86,Nextgen,,2015,02,17,,Other,17/02/2015,,,Mumbai Angels & Group Of Other Investors,0,,
87,Wooplr.Com,,2015,02,18,,Other,18/02/2015,,,Helion Venture Partners,5000000,Other,Series A
88,Klip.In,,2015,02,20,,Other,20/02/2015,,,"Calcutta Angels, Venture Nursery Angels Mumbai Angels",500000,Early stage,
89,Renderlogy,,2015,02,20,,Other,20/02/2015,,,Brick Eagle,1600000,Other,Series A
90,Appbase,,2015,02,21,,Other,21/02/2015,,,"Da-Iict, Techstars, Carnegie Mellon University, Startup Brasil Program",290000,Early stage,Grant + Seed funding
91,Homelane,,2015,02,23,,Other,23/02/2015,,,"Sequoia Capital, Ranjan Pai, Mohandas Pai & Others",4500000,Other,Series A
92,Trip38,,2015,02,23,,Other,23/02/2015,,,"Interglobe Technology Quotient, Lantern Capital",1000000,Other,Series A
93,Smartairtrip.Com,,2015,02,23,,Other,23/02/2015,,,Undisclosed,10000000,Other,Series A
94,Nobroker,,2015,02,23,,Other,23/02/2015,,,"Saif Partners, Fulcrum Ventures",3000000,Other,Series A
95,Caravan Craft Retail,,2015,02,24,,Other,24/02/2015,,,"Unitus Seed Fundnarayan Ramachandran, Bijou Kurien",500000,Early stage,
96,Squadrun,,2015,02,25,,Other,25/02/2015,,,"Amit Ranjan, Deepinder Goyal, Zishaan Hayath, Powai Lake Ventures",0,,
97,Clonect Solutions,,2015,02,25,,Other,25/02/2015,,,"V Balakrishnan, T V Mohandas Pai, Bc Prabhakar",250000,Early stage,
98,Taxsutra,,2015,02,25,,Other,25/02/2015,,,"V Balakrishnan, T V Mohandas Pai",160000,Early stage,
99,Peppertap,,2015,02,25,,Other,25/02/2015,,,Sequoia Capital,0,,
100,Sattviko,,2015,02,25,,Other,25/02/2015,,,"Sumit Jain, Rajat Jain, Sanjay Bhasin",320000,Early stage,
101,Industrybuying,,2015,02,25,,Other,25/02/2015,,,Saif Partners,2000000,Other,Series A
102,Freshworld,,2015,02,26,,Other,26/02/2015,,,"Kris Gopalakrishnan, Nagaraja Prakasam",0,,
103,Tinyowl,,2015,02,26,,Other,26/02/2015,,,"Matrix Partners, Sequoia Capital, Nexus Venture Partners",16000000,Other,Series B
104,Momoe,,2015,02,27,,Other,27/02/2015,,,"Idg Ventures India, Jungle Ventures, India Quotient.",1200000,Early stage,
105,Grofers,,2015,02,27,,Other,27/02/2015,,,"Tiger Global Management, Sequoia Capital India",10000000,Other,Series A
106,Trulymadly.Com,,2015,03,02,,Other,02/03/2015,,,"Helion Venture Partners, Kae Capital",5500000,Other,Series A
107,Instalively,,2015,03,02,,Other,02/03/2015,,,Group Of Angel Investors,120000,Early stage,
108,Vserv,,2015,03,03,,Other,03/03/2015,,,"Maverick Capital, Idg Ventures India",15000000,Other,
109,Intruo.Com,,2015,03,03,,Other,03/03/2015,,,"Ashutosh Lawania, Alok Goel & Others",0,,
110,Niffler,,2015,03,05,,Other,05/03/2015,,,Saif Partners,1000000,Early stage,
111,Customfurnish.Com,,2015,03,05,,Other,05/03/2015,,,"Madhukar Gangadi, Satish Reddy, Srini Raju, Srini Koppolu & Sidbi",2500000,Other,
112,Mapmygenome,,2015,03,06,,Other,06/03/2015,,,Rajan Anandan & Other Angel Investors,1200000,Other,
113,Crowdfire(Formerly Justunfollow),,2015,03,09,,Other,09/03/2015,,,Kalaari Capital,2500000,Other,
114,Bite Club,,2015,03,09,,Other,09/03/2015,,,"Powai Lake Ventures, Aneesh Reddy, Ashish Kashyap, Alok Mittal",500000,Early stage,
115,Localbanya,,2015,03,10,,Other,10/03/2015,,,Shrem Strategies,0,,Series B
116,Appedo,,2015,03,11,,Other,11/03/2015,,,Undisclosed Investors,1000000,Early stage,
117,Fitraq.Com,,2015,03,11,,Other,11/03/2015,,,Tarun Arora,0,,
118,Chargebee,,2015,03,11,,Other,11/03/2015,,,"Tiger Global, Accel Partners",5000000,Other,Series B
119,Groupon India,,2015,03,11,,Other,11/03/2015,,,Sequoia Capital,20000000,Other,
120,Process 9,,2015,03,12,,Other,12/03/2015,,,"Ian Ventures, Alok Sharma, Kris Gopalakrishnan, Saurabh Srivastava, Ajai Chowdhry",0,,
121,Moonfrog Labs,,2015,03,12,,Other,12/03/2015,,,"Tiger Global, Sequoia Capital.",15000000,Other,Series A
122,Foodpanda,,2015,03,13,,Other,13/03/2015,,,Rocket Internet Ag & Others,110000000,Other,Series C
123,Paytm,,2015,03,13,,Other,13/03/2015,,,Ratan Tata,0,,More details
124,Diabetomics,,2015,03,13,,Other,13/03/2015,,,"Ventureeast,  Varaprasad Reddy",5000000,Other,Series C
125,Qyk,,2015,03,13,,Other,13/03/2015,,,"Powai Lake Ventures, Zishan Hayath, Abhishek Goyal, Sahil Barua",0,,
126,Daily Rounds,,2015,03,14,,Other,14/03/2015,,,"Kae Capital, Gsf, Teruhide Sato",500000,Early stage,
127,Routofy,,2015,03,14,,Other,14/03/2015,,,"Kunal Bahl, Rohit Bansal",0,,
128,Digital Gorkha,,2015,03,16,,Other,16/03/2015,,,Ramesh Kavediya,166000,Early stage,
129,Nestaway,,2015,03,16,,Other,16/03/2015,,,"Idg Ventures, Naveen Tewari",0,,
130,The Better India,,2015,03,16,,Other,16/03/2015,,,I-Cube-N,166000,Early stage,
131,Meru Cabs,,2015,03,16,,Other,16/03/2015,,,Value Fund Advisors,50000000,Other,
132,Golflan,,2015,03,17,,Other,17/03/2015,,,Yournest Angel Fund,0,,
133,Drivestream,,2015,03,18,,Other,18/03/2015,,,Wipro,5000000,Other,
134,Wwhere,,2015,03,18,,Other,18/03/2015,,,Group Of Angel Investors,200000,Early stage,
135,Gojavas,,2015,03,18,,Other,18/03/2015,,,Snapdeal,0,,"Minority stake, Strategic"
136,Tripoto,,2015,03,19,,Other,19/03/2015,,,"Idg Ventures, Outbox Ventures",2000000,Other,Pre-Series A
137,Graphic India,,2015,03,19,,Other,19/03/2015,,,"Ca Media Lp,  Start Media.",2800000,Early stage,
138,Harness Handitouch,,2015,03,20,,Other,20/03/2015,,,Armat Group,0,,Series A
139,Lets Corp,,2015,03,20,,Other,20/03/2015,,,Wu Chay Chin,3000000,Early stage,
140,Collatebox,,2015,03,20,,Other,20/03/2015,,,Letsventure,180000,Early stage,
141,Mahindra First Choice,,2015,03,20,,Other,20/03/2015,,,Valiant Capital,15000000,Other,Series B
142,Round One,,2015,03,21,,Other,21/03/2015,,,"Ht Media, Arun Duggal",0,,
143,Razorpay,,2015,03,23,,Other,23/03/2015,,,Y Combinator,120000,Early stage,
144,Mosambee,,2015,03,23,,Other,23/03/2015,,,Rvcf And Sidbi,0,,Series B
145,Furlenco,,2015,03,24,,Other,24/03/2015,,,Lightbox Ventures,6000000,Other,Series A
146,Cubito,,2015,03,24,,Other,24/03/2015,,,Sol Primero,160000,Early stage,
147,Teabox,,2015,03,25,,Other,25/03/2015,,,"Jafco Asia, Keystone Group, Dragoneer Investment, Accel Partners",6000000,Other,Series A
148,Artoo,,2015,03,25,,Other,25/03/2015,,,"Accion Venture Labs, Rianta Capital",500000,Other,Series A
149,Fxkart.Com,,2015,03,25,,Other,25/03/2015,,,"Dr Mushtaq Shah, Dr Faraz Naqvi",2000000,Early stage,
150,Rozgar Mela,,2015,03,25,,Other,25/03/2015,,,"Impact Investment Holding, Upaya Social Ventures",0,,
151,Oyo Rooms,,2015,03,25,,Other,25/03/2015,,,"Greenoaks Capital, Sequoia Capital, Lightspeed Ventures",25000000,Other,Series A
152,Roposo.Com,,2015,03,26,,Other,26/03/2015,,,"Tiger Global Management, Indian Quotient, Binny Bansal",5000000,Other,Series A
153,Teewe,,2015,03,26,,Other,26/03/2015,,,"Sequoia Capital, India Quotient",1750000,Early stage,
154,Epoise,,2015,03,26,,Other,26/03/2015,,,Undisclosed,0,,
155,Urjas,,2015,03,27,,Other,27/03/2015,,,Solidarity Venture Capital & Others,100000,Early stage,
156,Chargein,,2015,03,27,,Other,27/03/2015,,,Pittie Group,100000,Early stage,
157,Yogurt Labs,,2015,03,28,,Other,28/03/2015,,,"Nick Adams, Kiran Bhat, Family Pot Investments Llp",115000,Early stage,
158,Limeroad.Com,,2015,03,28,,Other,28/03/2015,,,"Tiger Global, Matrix Partners, Lightspeed Venture Partners",30000000,Other,
159,Team Indus,,2015,03,28,,Other,28/03/2015,,,"Nandan Nilekani, Rajiv Mody, Ajai Chowdhary",1500000,Other,Pre-Series A
160,Arohan Financial Services,,2015,03,30,,Other,30/03/2015,,,Tano Capital,10000000,Other,
161,Billdesk,,2015,03,30,,Other,30/03/2015,,,Ta Associates,75000000,Other,Incremental Capital
162,Triphobo,,2015,03,31,,Other,31/03/2015,,,"Mayfield Ventures, Kalaari Capital",3000000,Other,Series B (More Here)
163,Aryaka,,2015,03,31,,Other,31/03/2015,,,"Trinity Ventures, Interwest Partners, Mohr Davidow Ventures, Presidio Ventures",16000000,Other,Series D
164,Appsdaily,,2015,03,31,,Other,31/03/2015,,,"Zodius Capital, Ru-Net, Kalaari Capital,  Qualcomm Ventures",16000000,Other,Series C
165,Swiggy,,2015,04,03,,SaaS,03/04/2015,,Bangalore,"Accel Partners, Saif Partners",2000000,Other,Series A
166,Bluegape,,2015,04,04,,SaaS,04/04/2015,,Gurgaon,"Rudy Gopalakrishnan, Ah! Ventures",200000,Early stage,
167,Keeptrax,,2015,04,04,,SaaS,04/04/2015,,Dallas / Hyderabad,,1000000,Early stage,
168,Instalively,,2015,04,06,,Entertainment,06/04/2015,,New Delhi,"Rajesh Sawheny , Rajan Anandan, Amit Ranjan, Niraj Singh, Aecal, Meraevents.",120000,Early stage,
169,Pricejugaad,,2015,04,07,,SaaS,07/04/2015,,Greater Hyderabad ,"Amit Tyagi, Sandeep Acharya & Others",165000,Early stage,
170,Quikr,,2015,04,07,,SaaS,07/04/2015,,Greater Mumbai,"Tiger Global, Investment Ab Kinnevik, Steadview Capital",150000000,Other,Series G (Checkprev funding details here)
171,Pressplay,,2015,04,07,,Entertainment,07/04/2015,,New Delhi,"Sequoia Capital, Jason Hirschhorn, Jarett Posner, And Amit Bhatiani",2200000,Early stage,
172,Loginext,,2015,04,07,,Logistics & Supply Chain,07/04/2015,,Greater Mumbai,"Ajit Surana, Sanjay Mehta",0,,
173,Firstcry.Com,,2015,04,08,,E-commerce,08/04/2015,,Pune,"Silicon Valley Ventures, Nea Ventures, Valiant Capital, Idg Ventures India,  Saif Partners, Vertex Ventures",10000000,Other,"Series D( In Feb it was announced they raised 26M, but it is 36M, so added here)"
174,Mobikwik,,2015,04,08,,SaaS,08/04/2015,,Gurgaon,"Tree Line Asia, Cisco Investments, American Express, Sequoia Capital",25000000,Other,Series B
175,Olacabs,,2015,04,08,,Transportation,08/04/2015,,Bangalore,"Dst Global, Steadview Capital, Tiger Global, Accel Partners & Others",400000000,Other,Series E (Updated from 315M to 400M after Press Release)
176,Gadgetwood,,2015,04,09,,Other,09/04/2015,,New Delhi,"Ajai Chowdhry, Ashvin Chadha, Yogesh Bansal,Nitin Singhal & Others",0,,
177,Bonhomia,,2015,04,09,,Food & Beverages,09/04/2015,,New Delhi,"Kanwaljit Singh, Shripad Nadkarni, Sarvesh Shahra & Others",2000000,Early stage,
178,Changer Mints,,2015,04,09,,SaaS,09/04/2015,,Kolkata,Hyderabad Based Investor,165000,Early stage,
179,Urban Ladder,,2015,04,09,,SaaS,09/04/2015,,Bangalore,"Sequoia Capital, Tr Capital, Steadview Capital, Saif Partners, Kalaari Capital",50000000,Other,Series C
180,Purple Squirrel,,2015,04,09,,EdTech,09/04/2015,,Greater Mumbai,"Matrix Partners India, India Quotient",0,,Series B
181,Whatfix,,2015,04,10,,Platforms & Social Media,10/04/2015,,Bangalore,"Helion Venture Partner, Powerhouse Ventures, Gsf And Other Angel Investors",900000,Early stage,
182,Immi Life,,2015,04,10,,SaaS,10/04/2015,,Chennai,Unitus Seed Fund,0,,
183,Zomato,,2015,04,11,,Platforms & Social Media,11/04/2015,,Gurgaon,Info Edge (India),25000000,Other,Late Stage
184,Zopnow,,2015,04,13,,SaaS,13/04/2015,,Bangalore,"Dragoneer Investment, Accel Partners, Qualcomm Ventures, Times Internet",10000000,Other,Series B
185,Nayi Disha,,2015,04,13,,EdTech,13/04/2015,,New Delhi,"Ajay Relan,",300000,Early stage,
186,Commeasure,,2015,04,13,,SaaS,13/04/2015,,Noida,Jungle Ventures,1000000,Early stage,
187,Capricoast,,2015,04,13,,SaaS,13/04/2015,,Bangalore,Accel Partners India,1250000,Early stage,
188,Localoye,,2015,04,14,,SaaS,14/04/2015,,Greater Mumbai,"Tiger Global Management, Lightspeed Venture Partners",0,,Series A
189,Grofers,,2015,04,15,,SaaS,15/04/2015,,Gurgaon,"Tiger Global, Sequoia Capital",35000000,Other,Series B
190,Peppertap,,2015,04,15,,SaaS,15/04/2015,,Gurgaon,"Saif Partners, Sequoia Capital",10000000,Other,Series A
191,Policybazaar,,2015,04,15,,SaaS,15/04/2015,,Gurgaon,"Premjiinvest, Tiger Global, Ribbit Capital",40000000,Other,Series D
192,Urbanclap,,2015,04,16,,Marketplace,16/04/2015,,New Delhi,"Saif Partners, Accel Partners, Kunal Bahl, Rohit Bansal",1600000,Early stage,
193,Taskbob,,2015,04,16,,SaaS,16/04/2015,,Greater Mumbai,"Orios Venture Partners, Mayfield India",1200000,Early stage,
194,Robosoft,,2015,04,17,,SaaS,17/04/2015,,Udupi,"Ascent Capital, Kalaari Capital",12000000,Other,Series B
195,Doormint,,2015,04,18,,SaaS,18/04/2015,,Greater Mumbai,Powai Lake Ventures,0,,
196,Vyomo,,2015,04,20,,SaaS,20/04/2015,,Gurgaon,Youwecan Ventures,0,,
197,Pastiwala,,2015,04,20,,Other,20/04/2015,,Vadodara,Agnus Capital,4000000,Other,Series A
198,1Mg (Healthkartplus),,2015,04,20,,SaaS,20/04/2015,,Gurgaon,"Deep Kalra, Sequoia Capital, Omidyar Network, Intel Capital & Kae Capital",6000000,Other,Series A
199,Freshdesk,,2015,04,20,,SaaS,20/04/2015,,Chennai,"Tiger Global, Google Capital & Accel Partners",50000000,Other,Series E
200,Sulekha.Com,,2015,04,20,,SaaS,20/04/2015,,Chennai,Gic Ventures,28000000,Other,Series C
201,Findyahan,,2015,04,22,,Marketplace,22/04/2015,,New Delhi,The Phoenix Fund,0,,Series A
202,Eat.Shop.Love,,2015,04,22,,Fashion,22/04/2015,,Bangalore,Undisclosed Investor,3500000,Other,Series A
203,Avanti Learning,,2015,04,22,,Consulting,22/04/2015,,New Delhi,"Michael & Susan Dell Foundation, Pearson Learning Fund",1500000,Other,Series A
204,Simplilearn,,2015,04,23,,SaaS,23/04/2015,,Bangalore,"Mayfield Ventures, Kalaari Capital, Helion Ventures",15000000,Other,Series C
205,Craftstvilla,,2015,04,23,,E-commerce,23/04/2015,,Greater Mumbai,"Sequoia Capital, Nexus Venture Partners, Lightspeed Ventures, Gfc",18000000,Other,Series B
206,Headout,,2015,04,23,,Marketplace,23/04/2015,,Bangalore / Sfo,"Version One Ventures, 500 Startups, Nexus Venture Partners And Arena Ventures",1800000,Early stage,
207,Happay,,2015,04,23,,SaaS,23/04/2015,,Bangalore,Angelprime,500000,Early stage,
208,Jugnoo,,2015,04,23,,Logistics & Supply Chain,23/04/2015,,Chandigarh,"Rakesh Mathur, Vikas Taneja & Others",1000000,Early stage,
209,Eazydiner,,2015,04,23,,SaaS,23/04/2015,,New Delhi,"Deepak Shahdadpuri, Gulpreet Kohli",0,,
210,Phone Warrior,,2015,04,23,,SaaS,23/04/2015,,New Delhi,Lightspeed Ventures,0,,Pre-Series A
211,Coverfox,,2015,04,24,,SaaS,24/04/2015,,Greater Mumbai,"Accel Us, Accel India, Saif Partners.",12000000,Other,Series B
212,Torqus,,2015,04,27,,Platforms & Social Media,27/04/2015,,Pune,S S Mukherji & Others,350000,Early stage,
213,Grab,,2015,04,27,,Logistics & Supply Chain,27/04/2015,,Greater Mumbai,"Oliphans Capital, Haresh Chawla",1000000,Early stage,
214,Logicroots,,2015,04,27,,EdTech,27/04/2015,,Jaipur,"Ah! Ventures, Calcutta Angels,  91Springboard",400000,Early stage,
215,Gibbs,,2015,04,27,,IT,27/04/2015,,New Delhi,Infuse Ventures Fund,0,,Series B
