,Startup Name,Founding Date,Founder(s),Founder Gender,Industry/Vertical,City,Investor(s),Funding Date,Investment Type,Investment Amount (USD),Yearly GDP (% Growth),Unicorn Company,Valuation (B USD)
607,Xstok,,,,Marketplace,Greater Mumbai,Oliphans Capital,16/09/2015,Early stage,450000,8.0,,
608,Unilog,,,,Platforms & Social Media,Bangalore,Kalaari Capital,17/09/2015,,0,8.0,,
609,Paintcollar,,,,Marketplace,Greater Mumbai,Applyifi,17/09/2015,,0,8.0,,
610,Yepme,,,,Fashion,Gurgaon,"Khazanah Nasional Berhad, Helion Venture Partners",17/09/2015,Other,75000000,8.0,,
611,Bueno,,,,SaaS,Gurgaon,High Networth Individuals (No Details),17/09/2015,Early stage,600000,8.0,,
612,Plabro,,,,Platforms & Social Media,New Delhi,"Sachin Bansal & Binny Bansal, Sol Primero, Outbox Ventures, Sangram Singh",18/09/2015,Early stage,350000,8.0,,
613,Curejoy,,,,Platforms & Social Media,Bangalore,"Accel Partners, Subrata Mitra, Larry Braitman, Venk Krishna",18/09/2015,Other,1150000,8.0,,
614,Briston Technomach,,,,Platforms & Social Media,New Delhi,Undisclosed,18/09/2015,Early stage,150000,8.0,,
615,Labstreet,,,,Platforms & Social Media,Gurgaon,Multiple Investors,18/09/2015,Early stage,150000,8.0,,
616,Dailyninja,,,,Platforms & Social Media,Bangalore,"Aprameya Radhakrishna, Naman Sarawagi, Afsal Salu,",19/09/2015,,0,8.0,,
617,Portea Medical,,,,Automotive,Bangalore,"Accel Partners, International Finance Corporation (Ifc), Qualcomm Ventures, Ventureast",21/09/2015,Other,37500000,8.0,,
618,Neotrade Analytics,,,,Platforms & Social Media,Bangalore,Rainmatter,21/09/2015,Early stage,235000,8.0,,
619,Dishco,,,,Food & Beverages,Greater Mumbai,"Anand Mahindra, Uday Punj, Ashish Hemrajani, Sanjeev Mehra",21/09/2015,,0,8.0,,
620,Lafalafa,,,,SaaS,Greater Mumbai,500 Startups,21/09/2015,Early stage,125000,8.0,,
621,Connectabank,,,,Platforms & Social Media,Greater Mumbai,Prakhar Bumb,21/09/2015,,0,8.0,,
622,Villfarm,,,,Food & Beverages,Bangalore,"Unitus Seed Fund, Rianta Capital, R Ramaraj, Sunil Edwards",22/09/2015,,0,8.0,,
623,Bestdealfinance,,,,Fintech,Greater Mumbai,"Kalaari Capital, Yournest Angel Fund",22/09/2015,Other,3000000,8.0,,
624,Gamexs.In,,,,Marketplace,New Delhi,Lead Angels,22/09/2015,,0,8.0,,
625,The Man Company,,,,Platforms & Social Media,New Delhi,"Karan Bajwa, Amanpreet Bajaj, Manish Vij",22/09/2015,,0,8.0,,
626,Virtual Logic,,,,IT,Bangalore,Swarnim Multiventures,22/09/2015,Other,800000,8.0,,
627,Furdo,,,,Platforms & Social Media,Bangalore,Bhavdeep Reddy,22/09/2015,Early stage,400000,8.0,,
628,Loginext,,,,Platforms & Social Media,Greater Mumbai,Paytm,22/09/2015,Other,10000000,8.0,,
629,Korra,,,,SaaS,New Delhi,Asha Jadeja Motwani & Others,22/09/2015,Early stage,300000,8.0,,
630,Credihealth,,,,Platforms & Social Media,Gurgaon,Rajat Malhotra,23/09/2015,,0,8.0,,
631,Amigobulls,,,,Fintech,Bangalore,"Sharad Sharma, Vijay Anand, Mohandas Pai. Pallav Nadhani, Singapore Angels Network & Others",23/09/2015,,0,8.0,,
632,Silverpush,,,,Platforms & Social Media,Gurgaon,M&S Partners,23/09/2015,Other,1200000,8.0,,
633,Juggernaut,,,,Platforms & Social Media,New Delhi,"William Bissell, Neeraj Aggarwal, Nandan Nilekani",23/09/2015,Other,2250000,8.0,,
634,Innerchef,,,,Platforms & Social Media,New Delhi,"Phanindra Sama, Anupam Mittal, Vijay Shekhar Sharma, Vishal Gondal, Sateesh Andara & Others",23/09/2015,Other,1750000,8.0,,
635,Quintype,,,,Platforms & Social Media,Bangalore,Raghav Bahl,24/09/2015,Other,3300000,8.0,,
636,Capabiliti,,,,Platforms & Social Media,Noida,"500 Startups, Smile Multimedia, Kunal Bahl, Rohit Bansal, Girish Matrubootham",24/09/2015,Early stage,400000,8.0,,
637,Fourth Partner Energy,2010.0,,Male,Energy,Greater Hyderabad ,"Infuse Ventures, The Chennai Angels",24/09/2015,Other,2000000,8.0,,
638,Licious,2015.0,,Male,Platforms & Social Media,Bangalore,"Kanwaljit Singh, Tv Mohandas Pai",24/09/2015,Early stage,1000000,8.0,Yes,1.3
639,Travelkhana,,,,Platforms & Social Media,New Delhi,Astarc Ventures & Others,25/09/2015,,0,8.0,,
640,Quickli,,,,Platforms & Social Media,New Delhi,"500 Startups, Mato Peric & Others",28/09/2015,,0,8.0,,
641,Ola Cabs,,,,Platforms & Social Media,Bangalore,Didi Kuaidi,28/09/2015,Other,30000000,8.0,Yes,7.3
642,Paytm,,,,Platforms & Social Media,New Delhi,"Alibaba Group, Ant Financial",29/09/2015,Other,680000000,8.0,,
643,Inmobi,,,,Platforms & Social Media,Bangalore,Tennenbaum Capital Partners & Others,29/09/2015,Other,100000000,8.0,,
644,Peppertap,,,,Transportation,Gurgaon,"Sequoia India, Saif Partners.",29/09/2015,,0,8.0,,
645,Hugefly,,,,Platforms & Social Media,Pune,Mayank Singhal And Others,29/09/2015,,0,8.0,,
646,Brigge,,,,Platforms & Social Media,Chennai,The Chennai Angels,29/09/2015,,0,8.0,,
647,Zakoopi,,,,Platforms & Social Media,New Delhi,Uniqorn Ventures,29/09/2015,,0,8.0,,
648,Loancircle,,,,Marketplace,Bangalore,"Zishaan Hayath, Rahul Khanna & Others",29/09/2015,,0,8.0,,
649,Infoworks,,,,Platforms & Social Media,Bangalore / Usa,"Nexus Venture Partners, Knoll Ventures And Others",30/09/2015,Other,5000000,8.0,,
650,Reddoorz,,,,Platforms & Social Media,Noida,Jungle Ventures,30/09/2015,,0,8.0,,
651,Firsttouch,,,,SaaS,Gurgaon,"Kunal Bahl, Rohit Bansal, Pranay Chulet, Naveen Tiwari, Amit Gupta, Mayank Singhal",30/09/2015,,0,8.0,,
652,Eywa Media,,,,Platforms & Social Media,Bangalore,"Ah! Ventures,Viktor Koenig Pe Fund, Mantra Ventures",30/09/2015,Early stage,1000000,8.0,,
653,Twigly,,,,Platforms & Social Media,Gurgaon,"Amit Gupta, Sahil Barua, Mukul Singhal, Tracxn Labs",02/11/2015,Early stage,200000,8.0,,
654,Cityflo,,,,SaaS,Greater Mumbai,Idg Ventures,02/11/2015,Early stage,750000,8.0,,
655,Findyahan,,,,Platforms & Social Media,Noida,Times Group Brand Capital,03/11/2015,,0,8.0,,
656,Sabse,,,,Platforms & Social Media,Greater Mumbai,Ratan Tata,03/11/2015,,0,8.0,,
657,Pokkt,,,,Platforms & Social Media,Greater Mumbai,"Segnel Venture, Shinji Kimura, Sundar Chanrai, Jafco Asia, Singtel’S Innov8, Jungle Ventures, K Ganesh",03/11/2015,Other,5000000,8.0,,
658,Boibanit,,,,Marketplace,Vadodara,"Varun Ahuja, Anubhav Verma",03/11/2015,Early stage,150000,8.0,,
659,Stuffed,,,,SaaS,Greater Mumbai,Riqueza Capital,03/11/2015,Early stage,385000,8.0,,
660,Loanbaba,,,,Marketplace,Greater Mumbai,,03/11/2015,Early stage,320000,8.0,,
661,Deyor Rooms,,,,IT,New Delhi,Dheeraj Jain & Others,03/11/2015,Early stage,500000,8.0,,
662,Bidgely,,,,Platforms & Social Media,,"Constellation Technology Ventures (Exelon Corporation), E.On, Rwe, Khosla Ventures",03/11/2015,Other,16600000,8.0,,
663,Shirsa Labs,,,,Platforms & Social Media,Greater Mumbai,Ah! Ventures,04/11/2015,Early stage,250000,8.0,,
664,Paytunes,,,,SaaS,New Delhi,Cio Angel Network,04/11/2015,,0,8.0,,
665,Yourdost,,,,Platforms & Social Media,Gwalior,"Phanindra Sama, Aprameya Radhakrishna, Aneesh Reddy, Neeraj Jawalkar, Sanjay Anandaram, Pavan Ongole, Venk Krishnan",04/11/2015,Early stage,400000,8.0,,
666,Bookmybai,,,,Platforms & Social Media,Greater Mumbai,Vineel Nalla & Others,05/11/2015,Early stage,150000,8.0,,
667,Myindianstay,,,,Platforms & Social Media,Goa,Undisclosed Investors,05/11/2015,Early stage,200000,8.0,,
668,Bobble,,,,SaaS,New Delhi,Saif Partners & Others,05/11/2015,,0,8.0,,
669,Repup,,,,Platforms & Social Media,Gurgaon,Indian Angel Network,06/11/2015,,0,8.0,,
670,Satvacart,,,,Platforms & Social Media,Gurgaon,Undisclosed Hnis,06/11/2015,Other,1800000,8.0,,
671,Popxo.Com,,,,Platforms & Social Media,New Delhi,"Idg Ventures India, Kalaari Capital, 500 Startups",06/11/2015,Other,2000000,8.0,,
672,Spareshub,,,,SaaS,Pune,"Hyderabad Angels, M&S Partners",06/11/2015,Early stage,460000,8.0,,
673,Explara,,,,Platforms & Social Media,Pune,"Hyderabad Angels, Singapore Angel Network, Ness Wadia",06/11/2015,Other,490000,8.0,,
674,Yuvi Hospitality,,,,Food & Beverages,Gurgaon,Chandralekha Construction Pvt. Ltd.,06/11/2015,Other,15000000,8.0,,
675,Appvirality,,,,Platforms & Social Media,Greater Hyderabad ,"Rajan Anandan, Mike Galgon, Ravi Gururaj, Ashim Mehra,  Mohit Saxena, Internet Group, Tnn Capital And Others",09/11/2015,Early stage,500000,8.0,,
676,Istar Skill Development,,,,Consulting,Bangalore,"Michael & Susan Dell Foundation, Unitus Seed Fund",09/11/2015,,0,8.0,,
677,Bigstylist.Com,,,,Marketplace,Greater Mumbai,Info Edge,09/11/2015,Other,1000000,8.0,,
678,Zilingo,,,,Marketplace,Bangalore,"Sequoia India, Beenext Ventures, Kunal Shah & Sandeep Tandon",09/11/2015,Other,1900000,8.0,,
679,Didi,,,,SaaS,Greater Mumbai,"Jozef Bardik, Leo Wang Sangeeth Ram",09/11/2015,Early stage,150000,8.0,,
680,Skoov.Com,,,,E-commerce,Greater Mumbai,Undisclosed Investor,09/11/2015,Early stage,150000,8.0,,
681,Chefs Basket,,,,Food & Beverages,Greater Mumbai,"Saif Partners, Haresh Chawla",10/11/2015,Other,6000000,8.0,,
682,Gingercrush,,,,Platforms & Social Media,Vadodara,Tv Mohandas Pai’S Family Office,11/11/2015,,0,8.0,,
683,Delight Foods,,,,SaaS,Bangalore,"Lensbridge Capital, Mape Advisory Group, Fireside Ventures",11/11/2015,Other,600000,8.0,,
684,6Degree,2014.0,,Male,Platforms & Social Media,Goa/Hyderabad,"Centre For Incubation & Business Acceleration (Ciba), Goa",11/11/2015,,0,8.0,,
685,Renewbuy,,,,Platforms & Social Media,Gurgaon,Mount Nathan Advisors Pte Ltd,11/11/2015,Early stage,500000,8.0,,
686,Grab,,,,Logistics & Supply Chain,Greater Mumbai,Sixth Sense Ventures,11/11/2015,,0,8.0,,
687,Hitwicket,,,,SaaS,Greater Hyderabad ,Chennai Angels,12/11/2015,Early stage,250000,8.0,,
688,Flashdoor,,,,Platforms & Social Media,Bangalore,"Sujeet Kumar, Ankit Nagori, Traxcn Labs",13/11/2015,,0,8.0,,
689,Cashkaro.Com,,,,Platforms & Social Media,Gurgaon,Kalaari Capital,16/11/2015,Other,3700000,8.0,,
690,Absentia,,,,Other,Bangalore,"Astarc Ventures, 50K Ventures & Others",16/11/2015,Early stage,180000,8.0,,
691,Renowala,,,,Platforms & Social Media,Greater Hyderabad ,Logtally,16/11/2015,,0,8.0,,
692,Taskbucks,,,,Marketplace,New Delhi,Times Internet,16/11/2015,Other,15000000,8.0,,
693,Craftsvilla,,,,Marketplace,Greater Mumbai,"Sequoia India, Lightspeed Venture Partners, Nexus Venture Partners, Global Founders Capital, Apoletto",17/11/2015,Other,34000000,8.0,,
694,Julia Computing,,,,Platforms & Social Media,Bangalore,Gordon And Betty Moore Foundation,17/11/2015,Early stage,600000,8.0,,
695,Styletag,,,,Marketplace,Bangalore,Jitu Virwani,17/11/2015,Early stage,7500000,8.0,,
696,Smytten,2015.0,,,Platforms & Social Media,Gurgaon,"Rimpal Chawla, Anuj Srivastava",17/11/2015,Early stage,200000,8.0,,
697,Bibox,,,,Platforms & Social Media,Bangalore,Ravi Krishnamurthy,17/11/2015,Early stage,530000,8.0,,
698,Convegenius,,,,SaaS,Noida,Enablers Platform,17/11/2015,Early stage,300000,8.0,,
699,Ola,2010.0,,Male,SaaS,Bangalore,"Baillie Gifford, Falcon Edge Capital, Tiger Global, Softbank Group, Dst Global, Didi Kuaidi",18/11/2015,Other,500000000,8.0,,
700,Goodbox,,,,SaaS,Bangalore,Nexus Venture Partners,18/11/2015,Other,2500000,8.0,,
701,Scoopwhoop,,,,Platforms & Social Media,New Delhi,Kalaari Capital,18/11/2015,Other,4000000,8.0,,
702,Hipship,,,,Platforms & Social Media,Bangalore,"Inara Capital , Rishi Khiani",18/11/2015,,0,8.0,,
703,Pickrr,2015.0,,,Logistics & Supply Chain,New Delhi,Palaash Ventures,18/11/2015,,0,8.0,,
704,Truelancer,,,,Marketplace,New Delhi,"Blackstone Valley Group, Raghu Vohra, Aditya Dev Sood, Kamal Bansal",18/11/2015,,0,8.0,,
705,Aha Taxis,,,,Platforms & Social Media,Noida,Ah! Ventures,19/11/2015,,0,8.0,,
706,Urbanclap,,,,Marketplace,Gurgaon,"Bessemer Venture Partner, Accel, Saif Partners",19/11/2015,Other,25000000,8.0,,
707,Sensegiz,,,,Health & Fitness,Belgaum,Karnataka Semiconductor Venture Capital Firm,19/11/2015,Early stage,500000,8.0,,
708,Placeoforigin,,,,Marketplace,Bangalore,"S.D. Shibulal, Kris Gopalakrishnan, Srinath Batni, Professor Tarun Khanna,  Ganapathy Venugopal.",19/11/2015,,0,8.0,,
709,Fourseven,,,,SaaS,New Delhi,Indian Angel Network,19/11/2015,Early stage,455000,8.0,,
710,Mindtickle,,,,SaaS,Bangalore,New Enterprise Associates,20/11/2015,Other,12500000,8.0,,
711,Shopsense,,,,Platforms & Social Media,Greater Mumbai,"Kae Capital, Kunal Bahl, Rohit Bansal",20/11/2015,,0,8.0,,
712,Medinfi,,,,Platforms & Social Media,Bangalore,"Ram Kumar Kakani, Pradeep K Jaisingh, Sunil T V, Vijay Ghadge, Hemant Kaul, Gurmeet Chahal & Others",20/11/2015,Early stage,305000,8.0,,
713,Ouwt,,,,SaaS,Greater Mumbai,Undisclosed Investors,20/11/2015,Early stage,150000,8.0,,
714,Heypillow,,,,Marketplace,Bangalore,Hampton Capital,20/11/2015,Other,3000000,8.0,,
715,Healers At Home,,,,Platforms & Social Media,New Delhi,"Daljit Singh, Dr. Pramath Raj Sinha, Bvr Mohan Reddy",21/11/2015,,0,8.0,,
716,Caravan Craft,,,,Other,Bangalore,"Unitus Seed Fund, Bijou Kurien, Narayan Ramachandran",21/11/2015,Other,1200000,8.0,,
717,Talkoot,,,,Platforms & Social Media,Bangalore,Undisclosed Investors,21/11/2015,Early stage,100000,8.0,,
718,Rentomojo,2014.0,,,Platforms & Social Media,Bangalore,"Idg Ventures India,  Accel Partners India",23/11/2015,Other,2000000,8.0,,
719,Medikoe,,,,Platforms & Social Media,Bangalore,Anil Menon,23/11/2015,Early stage,100000,8.0,,
720,Stylofie,,,,Marketplace,Gurgaon,Swastika,24/11/2015,Early stage,250000,8.0,,
721,Servx,,,,Platforms & Social Media,New Delhi,Manish Gupta,24/11/2015,,0,8.0,,
722,Naaptol,,,,Marketplace,Greater Mumbai,"Mitsui & Co., New Enterprise Associates, Canaan Partners, Silicon Valley Bank",24/11/2015,Other,52000000,8.0,,
723,Crayon Data,,,,Platforms & Social Media,,Ratan Tata,24/11/2015,,0,8.0,,
724,Earlysalary.Com,,,,Platforms & Social Media,Greater Mumbai,Ashok Agarwal,25/11/2015,Early stage,1500000,8.0,,
725,Tooler,,,,SaaS,New Delhi,"Raghu Khanna, Sameer Gupta",25/11/2015,Early stage,110000,8.0,,
726,S Chand,,,,EdTech,New Delhi,Ifc Everstone Group,25/11/2015,Other,27000000,8.0,,
727,Stelae,,,,SaaS,Chennai,Earlsfield Capital,26/11/2015,,0,8.0,,
728,Goqii,,,,Health & Fitness,Greater Mumbai,"New Enterprise Associates, Cheetah Mobile",26/11/2015,Other,13400000,8.0,,
729,Grofers,,,,Platforms & Social Media,Gurgaon,"Softbank, Tiger Global, Sequoia Capital, Apoletto Managers",26/11/2015,Other,120000000,8.0,,
730,Pluss,,,,Health & Fitness,Gurgaon,"Idg Ventures, M & S Partners, Powerhouse Ventures (Usa).",26/11/2015,Other,1000000,8.0,,
731,Kountmoney,,,,Marketplace,Bangalore,"Tracxn, Ashish Goenka & Others",26/11/2015,,0,8.0,,
732,Stayglad,,,,Platforms & Social Media,Bangalore,"Bessemer Venture Partners, Anil Chopra",27/11/2015,,0,8.0,,
733,Justride,,,,Platforms & Social Media,Greater Mumbai,,27/11/2015,Other,2000000,8.0,,
734,Fastudent,,,,EdTech,Noida,Ashish Gupta,27/11/2015,,0,8.0,,
735,Learnon,,,,Platforms & Social Media,Chennai,Jmr Infotech India Pvt Ltd,27/11/2015,,0,8.0,,
736,Talentrack,,,,Marketplace,New Delhi,Unigrowth Inc,27/11/2015,,0,8.0,,
737,M-Taxi,,,,SaaS,Gurgaon,"Mandeep Singh, Jairaj Singh",28/11/2015,,0,8.0,,
738,Baxi,,,,SaaS,Gurgaon,"Manish Kheterpal, Alok Mittal,  Puneet Dalmia,",30/11/2015,Early stage,1450000,8.0,,
739,Superhero Brands,,,,Platforms & Social Media,Greater Mumbai,Dsg Consumer Partners,30/11/2015,Early stage,540000,8.0,,
740,Momagic,,,,SaaS,New Delhi,Fih Mobile Ltd,30/11/2015,,0,8.0,,
741,Qikpod,,,,Transportation,Bangalore,"Flipkart, Accel Partners, Delhivery, Foxconn",30/11/2015,Other,9000000,8.0,,
742,Butterfly Interactive,,,,Marketplace,New Delhi,Undisclosed Investors,30/11/2015,,0,8.0,,
743,Bro4U,,,,SaaS,Bangalore,Sargod Ventures,30/11/2015,,0,8.0,,
744,Collegedekho,,,,EdTech,Jaipur,Girnarsoft,01/12/2015,Early stage,1000000,8.0,,
745,Black White Orange Brands,,,,Consulting,Greater Mumbai,Youwecan Ventures,01/12/2015,,0,8.0,,
746,Biteclub,,,,Platforms & Social Media,Gurgaon,Growx Ventures,01/12/2015,,0,8.0,,
747,Patel Logistics,,,,Platforms & Social Media,Greater Mumbai,Frontline Strategy,01/12/2015,Other,5600000,8.0,,
748,Wigzo,,,,Platforms & Social Media,New Delhi,"Aarin Capital Partners, Tv Mohandas Pai",01/12/2015,Early stage,500000,8.0,,
749,Zapluk,,,,SaaS,Greater Hyderabad ,,01/12/2015,,0,8.0,,
750,Godof Hospitals,,,,Health & Fitness,New Delhi,Pankaj Gupta,01/12/2015,Early stage,2000000,8.0,,
751,Roomstonite,,,,SaaS,Bangalore,"Lashit Sanghvi, Nikhil Vora, Venkat Vardhan,Mohammed Bin Abdul Rehman Al Khalifa,  Ralph Berezan, Vissal Mathew,  Balamurali Krishna",02/12/2015,Early stage,1500000,8.0,,
752,Kaaryah,,,,Fashion,New Delhi,"The Saha Fund, Tv Mohandas Pai",02/12/2015,,0,8.0,,
753,Anakage,,,,Platforms & Social Media,Bangalore,Cio Angel Network (Can),03/12/2015,,0,8.0,,
754,Easykhaana,,,,Platforms & Social Media,New Delhi,Undisclosed Investors,03/12/2015,Early stage,100000,8.0,,
755,Shuttl,,,,SaaS,Gurgaon,"Sequoia Capital, Times Internet Ltd & One More Fund",03/12/2015,,0,8.0,,
756,Eckovation,,,,Platforms & Social Media,New Delhi,Chandigarh Angel Network (Can),03/12/2015,,0,8.0,,
757,Fitcircle,,,,Platforms & Social Media,Greater Mumbai,Beerud Sheth And Ravi Mantha,03/12/2015,,0,8.0,,
758,Applop,,,,SaaS,Kolkata,Ghv Accelerator,04/12/2015,Early stage,100000,8.0,,
759,Carpm,,,,SaaS,Gurgaon,Ghv Accelerator,04/12/2015,Early stage,100000,8.0,,
760,Ndtv Wedding Portal,,,,Marketplace,New Delhi,Cerracap,04/12/2015,Other,20000000,8.0,,
761,Splitkart,,,,SaaS,New Delhi,"Rajesh Sawhney, Anupam Mittal, Dinesh Agarwal, Gaurav Gupta,",04/12/2015,,0,8.0,,
762,Zenatix,,,,Platforms & Social Media,Gurgaon,Blume Ventures,07/12/2015,,0,8.0,,
763,Customfurnish,,,,Other,Greater Hyderabad ,Agnus Capital,07/12/2015,Other,4500000,8.0,,
764,Faasos,,,,Other,Pune,"Ru-Net, Sequoia Capital,  Lightbox Ventures",07/12/2015,Other,30000000,8.0,,
765,Leaf Wearables,,,,Other,New Delhi,"Ajeet Khurana Jinesh Shah, Vikram Chachra, Dr. Aniruddha Malpani",07/12/2015,Early stage,250000,8.0,,
766,Coolshare,,,,SaaS,Greater Mumbai,Gopal Aggarwal,07/12/2015,Early stage,100000,8.0,,
767,Mficient,,,,Platforms & Social Media,New Delhi,Undisclosed Investors,08/12/2015,,0,8.0,,
768,Heybiz,,,,SaaS,New Delhi,Shopclues,08/12/2015,,0,8.0,,
769,Yumist,,,,Platforms & Social Media,Gurgaon,"Unilazer Ventures, Orios Venture Partners, Steven Lurie",08/12/2015,Other,2000000,8.0,,
770,Jigsaw Academy,,,,SaaS,Bangalore,Manipal Global Education Services,09/12/2015,Other,3000000,8.0,,
771,Joehukum,,,,SaaS,Gurgaon,"Tracxnlabs, Jitendra Gupta, Prashant Tandon",09/12/2015,,0,8.0,,
772,Voxweb,,,,SaaS,Greater Mumbai,Undisclosed Investor,09/12/2015,Early stage,350000,8.0,,
773,Aye Finance,,,,Fintech,New Delhi,"Saif Partners, Accion",09/12/2015,Other,3000000,8.0,,
774,Jumbobasket,,,,E-commerce,Chandigarh,Chandigarh Angels Network,09/12/2015,,0,8.0,,
775,Blackbuck,,,,SaaS,Bangalore,"Tiger Global Management, Yuri Milner, Apoletto, Accel Partners, Flipkart",10/12/2015,Other,25000000,8.0,,
776,Homestudio,,,,SaaS,Bangalore,Bren Corporation,10/12/2015,Other,5000000,8.0,,
777,Prophesee,,,,Platforms & Social Media,New Delhi,"Indian Angel Network, Stanford Angels, Entrepreneurs India",10/12/2015,Early stage,500000,8.0,,
778,I2E1,,,,SaaS,New Delhi,Growx Ventures,10/12/2015,Early stage,500000,8.0,,
779,Holisol Logistics,,,,Logistics & Supply Chain,New Delhi,Clsa Capital Partners Aria Iv Funds,10/12/2015,Other,10000000,8.0,,
780,Stay Simple Resorts,,,,Hospitality,Bangalore,"Mr. Sudhir & Ms. Shalini Sethi, Mr. Praveen Someshwar",10/12/2015,,0,8.0,,
781,Paynear,,,,SaaS,Greater Hyderabad ,Mitesh Majithia,10/12/2015,Other,2500000,8.0,,
782,Chillr,,,,SaaS,Greater Mumbai,"Sequoia Capital, Blume Ventures, Uniqorn Ventures And Other",10/12/2015,Other,70000000,8.0,,
783,Eureqa,,,,Platforms & Social Media,Greater Hyderabad ,"Sashi Reddi, Gabriel Investments",11/12/2015,Early stage,600000,8.0,,
784,Localcircles,,,,Platforms & Social Media,Noida,Anand Mahindra,11/12/2015,,0,8.0,,
785,Getfocus,,,,SaaS,Greater Mumbai,Undisclosed Investors,11/12/2015,,0,8.0,,
786,Urbanclap,,,,Platforms & Social Media,Gurgaon,Ratan Tata,11/12/2015,,0,8.0,,
787,Onlinerti,,,,SaaS,Bangalore,"Letsventure, Mohandas Pai",11/12/2015,Early stage,150000,8.0,,
788,Powerstores,,,,Platforms & Social Media,Goa,Extreme Venture Partners  William Bissell,11/12/2015,,0,8.0,,
789,Weddingz.In,,,,Marketplace,Greater Mumbai,"Rajan Anandan, Zoya Akhtar, Reema Kagati, Ruchi Narain, Amrish Kumar, Hrishikesh Parandekar",11/12/2015,Early stage,1000000,8.0,,
790,Intelligent Interfaces,,,,Platforms & Social Media,Bangalore,"Sachin Bansal, Binny Bansal",11/12/2015,,0,8.0,,
791,Capricoast,,,,Marketplace,Bangalore,"Accel Partners India, Rb Investments",14/12/2015,Other,3500000,8.0,,
792,Jetsetgo,,,,Marketplace,Bangalore,Puneet Dalmia,14/12/2015,,0,8.0,,
793,Cabsguru,,,,Platforms & Social Media,New Delhi,Prashanth Ranganathan,14/12/2015,Early stage,200000,8.0,,
794,Whoop,,,,Platforms & Social Media,,Infosys,14/12/2015,Other,3000000,8.0,,
795,Bookeventz,,,,Platforms & Social Media,Greater Mumbai,"Mumbai Angels, Singapore Angel Network, Zishaan Hayath",15/12/2015,,0,8.0,,
796,Deal Street Asia,,,,Platforms & Social Media,,"Vijay Shekhar Sharma, Singapore Angels Network",15/12/2015,,0,8.0,,
797,Streamoid,,,,Platforms & Social Media,Bangalore / Palo Alto,Undisclosed,15/12/2015,Early stage,1000000,8.0,,
798,Housejoy,,,,Marketplace,Bangalore,"Amazon, Vertex Ventures, Qualcomm, Ru-Net Technology Partners, Matrix Partners",16/12/2015,Other,22500000,8.0,,
799,Bluebirch,,,,Platforms & Social Media,Bangalore,"Chicago Capital Ventures, Sanjay Mehta, Others",16/12/2015,Early stage,2000000,8.0,,
800,Meradoctor,,,,SaaS,Greater Mumbai,Unilazer,16/12/2015,Other,1200000,8.0,,
801,Stage 3,,,,Platforms & Social Media,New Delhi,"Nisha Sharma, Puneet Dalmia, Balaji Prabhakar",16/12/2015,,0,8.0,,
802,Rivigo,,,,Logistics & Supply Chain,Gurgaon,Saif Partners And Others,17/12/2015,Other,30000000,8.0,Yes,1.1
803,Springboard,,,,Platforms & Social Media,Bangalore,"Allen Blue, John Katzman, Naveen Tewari, Kartik Hosanagar, Kashyap Deorah, 500 Startups, Blue Fog Capital",17/12/2015,Early stage,1700000,8.0,,
804,Eatfresh,,,,Marketplace,Bangalore,Kalaari Capital,17/12/2015,,0,8.0,,
805,Ampere Vehicles,,,,Transportation,Coimbatore,Kris Gopalakrishnan & Others,18/12/2015,Early stage,1200000,8.0,,
806,Focus Digit,,,,Platforms & Social Media,New Delhi,Turning Ideas,18/12/2015,,0,8.0,,
807,The News Minute,,,,SaaS,Bangalore,Quintillion Media,18/12/2015,,0,8.0,,
808,Cbrex,,,,Platforms & Social Media,Greater Mumbai,"Prahlad Rao, Sundara Rajan, Vikram Chachra",18/12/2015,Early stage,200000,8.0,,
809,Truckmandi,,,,Marketplace,New Delhi,"Ritesh Dwivedy, Ramakant Sharma, Mount Nathan Advisors",21/12/2015,Other,2000000,8.0,,
810,Peppertap,,,,Transportation,Gurgaon,Innoven Capital,21/12/2015,Other,4000000,8.0,,
811,Kooh Sports,,,,EdTech,Greater Mumbai,"Tcs, Hdfc, Faering Capital, Elevate Sports",21/12/2015,Other,2000000,8.0,,
812,Rentongo,,,,Marketplace,Bangalore,"Anand Chandrasekaran, Rajesh Sawhney, Kalpana Tatavarti, Shivanandan Pare",22/12/2015,,0,8.0,,
813,Industrybuying,,,,Marketplace,New Delhi,"Murugappa Group, Tvs Group, Vellayan Subbiah, Arathi Krishna, Arun Venkatachalam",22/12/2015,,0,8.0,,
814,Zapr,,,,SaaS,Gurgaon,Dinesh Agarwal,22/12/2015,,0,8.0,,
815,Latestone,,,,SaaS,Greater Hyderabad ,Palred Technologies Ltd,22/12/2015,Other,3000000,8.0,,
816,Planetgogo,,,,Platforms & Social Media,Gurgaon,Ht Digital Media Holdings Ltd,22/12/2015,,0,8.0,,
817,Arya.Ai,,,,Platforms & Social Media,Greater Mumbai,"Yournest Angel Fund, Venture Nursery",22/12/2015,Other,750000,8.0,,
818,Doctor Insta,,,,Platforms & Social Media,Gurgaon,"Rishi Parti, Brahmax Ventures",22/12/2015,Other,500000,8.0,,
819,Mobiefit,,,,SaaS,Goa,Medi Assist,22/12/2015,Other,1000000,8.0,,
820,Lafalafa,,,,SaaS,Greater Mumbai,Vectr Ventures,23/12/2015,,0,8.0,,
