,Startup Name,Founding Date,Founder(s),Founder Gender,Industry/Vertical,City,Investor(s),Funding Date,Investment Type,Investment Amount (USD),Yearly GDP (% Growth),Unicorn Company,Valuation (B USD)
2676,Buildsupply,,,,E-commerce,,"Venture Highway, Gree Ventures, Space Matrix, Individual Investors",06/12/2018,Series A,3500000,6.45,,
2677,Cardekho,,,,Automotive,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet’S Growth Investment Arm Capital G And Axis Bank",03/01/2019,Series C,110000000,3.74,Yes,1.2
2678,Vyome Therapeutics Inc.,,,,Health & Fitness,Bangalore,"Iron Pillar, Perceptive Advisors, Romulus Capital And Kalaari Capital",04/01/2019,Series D to late stage,22000000,3.74,,
2679,Samunnati Financial Intermediation & Services Pvt. Ltd,,,,Fintech,Chennai,"Massif, A Dutch Government Fund",04/01/2019,Early Stage,5000000,3.74,,
2680,Fleetx,,,,AI,Gurgaon,India Quotient And Letsventure’S Angel Fund,01/02/2019,,0,3.74,,
2681,Dhruva Space,,,,Other,Bangalore,"Mumbai Angels, Ravikanth Reddy",03/02/2019,Early stage,50000000,3.74,,
2682,Zilingo,,,,E-commerce,,"Sequoia Capital And Temasek Holdings, Edbi, Burda Principal Investments, And Sofina",08/02/2019,Series D to late stage,226000000,3.74,,
2683,Nanoclean Global,,,,IT,New Delhi,"Letsventure, Pitchright Venture, 91Springboard, Al Nour International Holdings And Mark V Investments",13/02/2019,Series A,600000,3.74,,
2684,Kabadiwala,,,,E-commerce,Bhopal,"Unilever, Beehive Capital Advisor, Abcom Investments, Parekh Marine Transport,",10/04/2019,Other,430665,3.74,,
2685,Toppr,,,,EdTech,Greater Mumbai,Milestone,10/04/2019,Early Stage,6320820,3.74,,
2686,Craftsvilla,,,,E-commerce,Greater Mumbai,Supera Pte Ltd,10/04/2019,Other,2443495,3.74,,
2687,Unacademy,2015.0,,Male,EdTech,Bangalore,Kalyan Krishnamurthy,10/04/2019,Early stage,307000,3.74,Yes,3.4
2688,Setu,,,,Fintech,Bangalore,Lightspeed India Partners,11/04/2019,Early stage,3500000,3.74,,
